Key	Frame	Index
1f004	1	0
1f0cf	1	1
1f170	1	2
1f171	1	3
1f17e	1	4
1f17f	1	5
1f18e	1	6
1f191	1	7
1f192	1	8
1f193	1	9
1f194	1	10
1f195	1	11
1f196	1	12
1f197	1	13
1f198	1	14
1f199	1	15
1f19a	1	16
1f1e6	1	17
1f1e6-1f1e8	1	18
1f1e6-1f1e9	1	19
1f1e6-1f1ea	1	20
1f1e6-1f1eb	1	21
1f1e6-1f1ec	1	22
1f1e6-1f1ee	1	23
1f1e6-1f1f1	1	24
1f1e6-1f1f2	1	25
1f1e6-1f1f4	1	26
1f1e6-1f1f6	1	27
1f1e6-1f1f7	1	28
1f1e6-1f1f8	1	29
1f1e6-1f1f9	1	30
1f1e6-1f1fa	1	31
1f1e6-1f1fc	1	32
1f1e6-1f1fd	1	33
1f1e6-1f1ff	1	34
1f1e7	1	35
1f1e7-1f1e6	1	36
1f1e7-1f1e7	1	37
1f1e7-1f1e9	1	38
1f1e7-1f1ea	1	39
1f1e7-1f1eb	1	40
1f1e7-1f1ec	1	41
1f1e7-1f1ed	1	42
1f1e7-1f1ee	1	43
1f1e7-1f1ef	1	44
1f1e7-1f1f1	1	45
1f1e7-1f1f2	1	46
1f1e7-1f1f3	1	47
1f1e7-1f1f4	1	48
1f1e7-1f1f6	1	49
1f1e7-1f1f7	1	50
1f1e7-1f1f8	1	51
1f1e7-1f1f9	1	52
1f1e7-1f1fb	1	53
1f1e7-1f1fc	1	54
1f1e7-1f1fe	1	55
1f1e7-1f1ff	1	56
1f1e8	1	57
1f1e8-1f1e6	1	58
1f1e8-1f1e8	1	59
1f1e8-1f1e9	1	60
1f1e8-1f1eb	1	61
1f1e8-1f1ec	1	62
1f1e8-1f1ed	1	63
1f1e8-1f1ee	1	64
1f1e8-1f1f0	1	65
1f1e8-1f1f1	1	66
1f1e8-1f1f2	1	67
1f1e8-1f1f3	1	68
1f1e8-1f1f4	1	69
1f1e8-1f1f5	1	70
1f1e8-1f1f7	1	71
1f1e8-1f1fa	1	72
1f1e8-1f1fb	1	73
1f1e8-1f1fc	1	74
1f1e8-1f1fd	1	75
1f1e8-1f1fe	1	76
1f1e8-1f1ff	1	77
1f1e9	1	78
1f1e9-1f1ea	1	79
1f1e9-1f1ec	1	80
1f1e9-1f1ef	1	81
1f1e9-1f1f0	1	82
1f1e9-1f1f2	1	83
1f1e9-1f1f4	1	84
1f1e9-1f1ff	1	85
1f1ea	1	86
1f1ea-1f1e6	1	87
1f1ea-1f1e8	1	88
1f1ea-1f1ea	1	89
